City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Norman Wells,CA,65.28,-126.83,53.6,71,75,3.36,broken clouds
143,Port Macquarie,AU,-31.43,152.92,78.01,59,95,1.99,light rain
144,Svetlogorsk,BY,52.63,29.73,51.96,89,0,3.67,clear sky
145,San Juan,AR,-31.54,-68.54,54.43,40,0,6.42,clear sky
146,Jeremoabo,BR,-10.07,-38.48,62.22,92,1,5.77,clear sky
147,Haines Junction,CA,60.75,-137.51,49.48,53,0,2.62,clear sky
148,Saskylakh,RU,71.92,114.08,41.81,91,100,16.64,light rain
149,Tuktoyaktuk,CA,69.45,-133.04,42.8,75,75,13.87,broken clouds
150,Nosy Varika,MG,-20.58,48.53,63.99,88,75,10.67,light rain
151,Gornopravdinsk,RU,60.05,69.9,44.89,74,93,9.75,overcast clouds
152,Srednekolymsk,RU,67.45,153.68,54.36,41,0,8.84,clear sky
153,Burnie,AU,-41.07,145.92,61.0,45,54,10.0,broken clouds
154,Lincoln,US,40.8,-96.67,70.0,52,1,4.7,clear sky
155,Kutum,SD,14.2,24.67,75.29,66,97,3.36,overcast clouds
156,Filingue,NE,14.35,3.32,82.83,58,88,6.13,overcast clouds
157,Atuona,PF,-9.8,-139.03,78.8,74,6,21.43,clear sky
158,Kawalu,ID,-7.38,108.21,79.57,65,56,4.83,broken clouds
159,Port Keats,AU,-14.25,129.55,89.53,44,42,8.75,light rain
160,Morales,CO,2.76,-76.62,60.26,86,100,2.17,overcast clouds
161,Kavieng,PG,-2.57,150.8,84.25,75,100,11.77,moderate rain
162,Rawson,AR,-43.3,-65.1,43.23,66,0,7.11,clear sky
163,Fare,PF,-16.7,-151.02,78.46,75,41,11.39,scattered clouds
164,Constitucion,CL,-35.33,-72.42,47.82,84,23,3.69,few clouds
165,Panjab,AF,34.39,67.02,53.38,39,0,3.33,clear sky
166,Lebu,CL,-37.62,-73.65,46.31,78,100,4.14,overcast clouds
167,Brazzaville,CG,-4.27,15.28,69.8,88,20,5.32,few clouds
168,Stillwater,US,36.12,-97.06,84.2,62,1,9.17,clear sky
169,Esperance,AU,-33.87,121.9,68.0,64,0,10.29,clear sky
170,Navahrudak,BY,53.6,25.83,56.53,96,99,5.91,overcast clouds
171,Butaritari,KI,3.07,172.79,83.3,72,64,10.45,broken clouds
172,Owando,CG,-0.48,15.9,72.1,88,0,5.01,clear sky
173,San Cristobal,VE,7.77,-72.22,82.4,69,40,2.24,scattered clouds
174,Japura,ID,-0.32,102.35,79.07,87,100,1.61,overcast clouds
175,Chokwe,MZ,-24.53,32.98,59.38,90,0,3.78,clear sky
176,Dargaville,NZ,-35.93,173.88,56.66,63,87,9.84,overcast clouds
177,Okoneshnikovo,RU,54.84,75.08,47.07,84,94,11.86,light rain
178,Arraial Do Cabo,BR,-22.97,-42.03,73.4,88,20,14.99,few clouds
179,Bam,IR,29.11,58.36,78.98,15,0,8.68,clear sky
